epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,7.587562084197998,,1973.496337890625,,,
0,,99,,,7.464147090911865,,1744.3670654296875,,,
0,,149,,,7.462839603424072,,1742.087890625,,,
0,,199,,,7.42343282699585,,1674.7728271484375,,,
0,,249,,,7.472825527191162,,1759.5712890625,,,
0,,286,,,,,,1802.9852294921875,7.497199058532715,1813.6092529296875
0,84.95289611816406,286,1943.35791015625,7.57217264175415,,3934.7646484375,,,,
1,,299,,,7.494655609130859,,1798.4052734375,,,
1,,349,,,7.415433406829834,,1661.4290771484375,,,
1,,399,,,7.486845016479492,,1784.4134521484375,,,
1,,449,,,7.461673259735107,,1740.05712890625,,,
1,,499,,,7.561703681945801,,1923.119140625,,,
1,,549,,,7.4308881759643555,,1687.3055419921875,,,
1,,573,,,,,,2484.87451171875,7.817977428436279,2498.6796875
1,35.762386322021484,573,1755.73779296875,7.470644474029541,,1765.61376953125,,,,
2,,599,,,7.39492654800415,,1627.705322265625,,,
2,,649,,,7.535148620605469,,1872.72265625,,,
2,,699,,,7.518685817718506,,1842.144775390625,,,
2,,749,,,7.527726650238037,,1858.8748779296875,,,
2,,799,,,7.400814533233643,,1637.317626953125,,,
2,,849,,,7.395667552947998,,1628.9119873046875,,,
2,,860,,,,,,2984.718505859375,8.001260757446289,3003.9912109375
2,35.80713653564453,860,1766.5103759765625,7.476761341094971,,1770.943603515625,,,,
3,,899,,,7.430278778076172,,1686.277587890625,,,
3,,949,,,7.689055919647217,,2184.311279296875,,,
3,,999,,,7.512263774871826,,1830.3524169921875,,,
3,,1049,,,7.4719696044921875,,1758.0660400390625,,,
3,,1099,,,7.445417881011963,,1712.00048828125,,,
3,,1147,,,,,,2496.27783203125,7.822556018829346,2509.698974609375
3,35.79939651489258,1147,1770.69580078125,7.479127883911133,,1782.2720947265625,,,,
