epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,7.264943599700928,,1429.304931640625,,,
0,,99,,,6.972468852996826,,1066.8533935546875,,,
0,,149,,,6.633347988128662,,760.0224609375,,,
0,,199,,,6.422060012817383,,615.269287109375,,,
0,,249,,,6.376159191131592,,587.666259765625,,,
0,,286,,,,,,536.6405029296875,6.285328388214111,540.9349975585938
0,105.58314514160156,286,1029.7254638671875,6.937047481536865,,1884.8292236328125,,,,
1,,299,,,6.08366060256958,,438.63189697265625,,,
1,,349,,,6.036259651184082,,418.3254089355469,,,
1,,399,,,5.965843200683594,,389.8816223144531,,,
1,,449,,,5.8564252853393555,,349.47265625,,,
1,,499,,,5.895071029663086,,363.2426452636719,,,
1,,549,,,5.760898113250732,,317.63348388671875,,,
1,,573,,,,,,374.85772705078125,5.926546573638916,378.4071044921875
1,38.4307861328125,573,393.73382568359375,5.975675106048584,,397.0675964355469,,,,
2,,599,,,5.755648612976074,,315.9704284667969,,,
2,,649,,,5.718960762023926,,304.5882263183594,,,
2,,699,,,5.6562395095825195,,286.0708312988281,,,
2,,749,,,5.5070390701293945,,246.42042541503906,,,
2,,799,,,5.51594877243042,,248.62576293945312,,,
2,,849,,,5.489509582519531,,242.138427734375,,,
2,,860,,,,,,305.7685241699219,5.722828388214111,308.9425048828125
2,38.2692756652832,860,270.89410400390625,5.6017279624938965,,272.0506896972656,,,,
3,,899,,,5.432115077972412,,228.63230895996094,,,
3,,949,,,5.4849982261657715,,241.04852294921875,,,
3,,999,,,5.3735671043396,,215.63067626953125,,,
3,,1049,,,5.447101593017578,,232.0845184326172,,,
3,,1099,,,5.314952850341797,,203.3549346923828,,,
3,,1147,,,,,,264.58111572265625,5.578147888183594,267.5909729003906
3,38.24596405029297,1147,207.58982849121094,5.335564136505127,,208.35231018066406,,,,
4,,1149,,,5.246722221374512,,189.94265747070312,,,
4,,1199,,,5.1639933586120605,,174.86134338378906,,,
4,,1249,,,5.14315938949585,,171.25596618652344,,,
4,,1299,,,5.018576145172119,,151.1958770751953,,,
4,,1349,,,5.106739521026611,,165.13107299804688,,,
4,,1399,,,5.184896945953369,,178.5550537109375,,,
4,,1434,,,,,,235.99046325683594,5.463791370391846,238.76976013183594
4,38.37285232543945,1434,168.528076171875,5.127102375030518,,169.08541870117188,,,,
5,,1449,,,4.905555725097656,,135.03794860839844,,,
5,,1499,,,4.9340996742248535,,138.94798278808594,,,
5,,1549,,,4.8565874099731445,,128.58465576171875,,,
5,,1599,,,4.859453201293945,,128.95367431640625,,,
5,,1649,,,4.946691036224365,,140.70858764648438,,,
5,,1699,,,4.893341064453125,,133.39852905273438,,,
5,,1721,,,,,,216.95193481445312,5.37967586517334,219.6888427734375
5,38.42912292480469,1721,141.5540313720703,4.952681541442871,,142.09263610839844,,,,
6,,1749,,,4.869607448577881,,130.26976013183594,,,
6,,1799,,,4.762180805206299,,117.00080871582031,,,
6,,1849,,,4.616365909576416,,101.12586212158203,,,
6,,1899,,,4.796577453613281,,121.09526062011719,,,
6,,1949,,,4.899194717407227,,134.18167114257812,,,
6,,1999,,,4.880073070526123,,131.64027404785156,,,
6,,2008,,,,,,203.45143127441406,5.315427303314209,206.1367645263672
6,38.46595764160156,2008,121.81158447265625,4.802475452423096,,122.26195526123047,,,,
7,,2049,,,4.647585391998291,,104.332763671875,,,
7,,2099,,,4.55617094039917,,95.21818542480469,,,
7,,2149,,,4.65026330947876,,104.6125259399414,,,
7,,2199,,,4.596035003662109,,99.09064483642578,,,
7,,2249,,,4.6814751625061035,,107.9291763305664,,,
7,,2295,,,,,,195.7814483642578,5.276998996734619,198.4656524658203
7,38.44956588745117,2295,106.99258422851562,4.672759532928467,,107.38301086425781,,,,
8,,2299,,,4.513055801391602,,91.20008850097656,,,
8,,2349,,,4.559423446655273,,95.52838134765625,,,
8,,2399,,,4.499320983886719,,89.95602416992188,,,
8,,2449,,,4.6510114669799805,,104.69082641601562,,,
8,,2499,,,4.638243198394775,,103.36260223388672,,,
8,,2549,,,4.4637556076049805,,86.81293487548828,,,
8,,2582,,,,,,189.8318328857422,5.246138572692871,192.5093536376953
8,38.37735366821289,2582,95.25065612792969,4.556511878967285,,95.59445190429688,,,,
9,,2599,,,4.473987579345703,,87.70575714111328,,,
9,,2649,,,4.330113410949707,,75.9529037475586,,,
9,,2699,,,4.256158351898193,,70.53848266601562,,,
9,,2749,,,4.550530433654785,,94.68260955810547,,,
