epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,9.57303524017334,,14371.97265625,,,
0,,99,,,9.152148246765137,,9434.6865234375,,,
0,,149,,,8.616140365600586,,5520.0400390625,,,
0,,199,,,8.278013229370117,,3936.3662109375,,,
0,,249,,,7.932286262512207,,2785.788330078125,,,
0,,286,,,,,,2536.7724609375,7.838647842407227,2549.6103515625
0,84.50955963134766,286,6809.69921875,8.826103210449219,,8832.30859375,,,,
1,,299,,,7.832475662231445,,2521.1630859375,,,
1,,349,,,7.533171653747559,,1869.02392578125,,,
1,,399,,,7.3974080085754395,,1631.7493896484375,,,
1,,449,,,7.275547027587891,,1444.541259765625,,,
1,,499,,,7.165862083435059,,1294.47705078125,,,
1,,549,,,7.16387414932251,,1291.90625,,,
1,,573,,,,,,1230.9857177734375,7.115570545196533,1238.183349609375
1,35.4936637878418,573,1669.9642333984375,7.420557498931885,,1714.01806640625,,,,
2,,599,,,7.114279747009277,,1229.3978271484375,,,
2,,649,,,6.962621688842773,,1056.3995361328125,,,
2,,699,,,6.975470066070557,,1070.06005859375,,,
2,,749,,,7.059269905090332,,1163.5953369140625,,,
2,,799,,,6.909785747528076,,1002.0325317382812,,,
2,,849,,,6.945407390594482,,1038.369873046875,,,
2,,860,,,,,,975.3048095703125,6.882750034332275,982.1273803710938
2,35.48540115356445,860,1057.0172119140625,6.9632062911987305,,1061.6881103515625,,,,
3,,899,,,6.917802333831787,,1010.0977172851562,,,
3,,949,,,6.790043830871582,,888.9525756835938,,,
3,,999,,,6.71027135848999,,820.7933349609375,,,
3,,1049,,,6.873835563659668,,966.6491088867188,,,
3,,1099,,,6.725231647491455,,833.1649169921875,,,
3,,1147,,,,,,862.8789672851562,6.760274410247803,869.2496337890625
3,35.4017448425293,1147,885.49609375,6.7861480712890625,,888.1593627929688,,,,
4,,1149,,,6.75445556640625,,857.87255859375,,,
4,,1199,,,6.690738201141357,,804.916259765625,,,
4,,1249,,,6.693563938140869,,807.1939086914062,,,
4,,1299,,,6.612758636474609,,744.5340576171875,,,
4,,1349,,,6.62587833404541,,754.3665161132812,,,
4,,1399,,,6.727725982666016,,835.2457275390625,,,
4,,1434,,,,,,783.1937866210938,6.663380146026611,789.0816650390625
4,35.531307220458984,1434,786.0960693359375,6.667078971862793,,788.3267211914062,,,,
5,,1449,,,6.501324653625488,,666.0232543945312,,,
5,,1499,,,6.688685417175293,,803.2655639648438,,,
5,,1549,,,6.503336429595947,,667.364501953125,,,
5,,1599,,,6.544160842895508,,695.173095703125,,,
5,,1649,,,6.519391059875488,,678.165283203125,,,
5,,1699,,,6.512497425079346,,673.5064086914062,,,
5,,1721,,,,,,722.5165405273438,6.582740306854248,728.0350341796875
5,35.66826248168945,1721,712.8367919921875,6.5692524909973145,,714.670654296875,,,,
6,,1749,,,6.457438945770264,,637.426513671875,,,
6,,1799,,,6.514162540435791,,674.6287841796875,,,
6,,1849,,,6.432693958282471,,621.846923828125,,,
6,,1899,,,6.510447978973389,,672.12744140625,,,
6,,1949,,,6.438941478729248,,625.744140625,,,
6,,1999,,,6.489983558654785,,658.5125122070312,,,
6,,2008,,,,,,675.531982421875,6.515500545501709,680.8055419921875
6,35.53844451904297,2008,655.6000366210938,6.485550880432129,,657.2904663085938,,,,
7,,2049,,,6.5264692306518555,,682.9824829101562,,,
7,,2099,,,6.46589469909668,,642.8392944335938,,,
7,,2149,,,6.4808807373046875,,652.54541015625,,,
7,,2199,,,6.460611343383789,,639.451904296875,,,
7,,2249,,,6.484418869018555,,654.8582763671875,,,
7,,2295,,,,,,640.448486328125,6.4621686935424805,645.4710083007812
7,35.49889373779297,2295,610.0994262695312,6.41362190246582,,611.64892578125,,,,
8,,2299,,,6.305588722229004,,547.6238403320312,,,
8,,2349,,,6.398848056793213,,601.1521606445312,,,
8,,2399,,,6.230660915374756,,508.0911865234375,,,
8,,2449,,,6.359008312225342,,577.6732177734375,,,
8,,2499,,,6.516520977020264,,676.2216796875,,,
8,,2549,,,6.389483451843262,,595.548828125,,,
8,,2582,,,,,,610.2498168945312,6.413868427276611,615.0565795898438
8,35.38026428222656,2582,574.7706298828125,6.353971004486084,,575.8992309570312,,,,
9,,2599,,,6.29757833480835,,543.2547607421875,,,
9,,2649,,,6.358786106109619,,577.5448608398438,,,
9,,2699,,,6.26529598236084,,525.9972534179688,,,
9,,2749,,,6.310308456420898,,550.214599609375,,,
9,,2799,,,6.255244255065918,,520.7365112304688,,,
9,,2849,,,6.28983736038208,,539.065673828125,,,
9,,2869,,,,,,587.838623046875,6.376452445983887,592.515380859375
9,35.5219612121582,2869,545.6683959960938,6.302011489868164,,547.0897216796875,,,,
10,,2899,,,6.268465995788574,,527.6672973632812,,,
10,,2949,,,6.238216400146484,,511.9446105957031,,,
10,,2999,,,6.360891342163086,,578.7620239257812,,,
10,,3049,,,6.347192764282227,,570.8878173828125,,,
10,,3099,,,6.325314521789551,,558.5335083007812,,,
10,,3149,,,6.249020099639893,,517.5054931640625,,,
10,,3156,,,,,,567.9952392578125,6.342113018035889,572.5053100585938
10,35.4984130859375,3156,522.0567016601562,6.257776260375977,,523.2706909179688,,,,
11,,3199,,,6.38412618637085,,592.366943359375,,,
11,,3249,,,6.287846088409424,,537.9932861328125,,,
11,,3299,,,6.207330226898193,,496.374267578125,,,
11,,3349,,,6.281300067901611,,534.4830932617188,,,
11,,3399,,,6.242445945739746,,514.114501953125,,,
11,,3443,,,,,,553.3677978515625,6.316022872924805,557.7739868164062
11,35.31563186645508,3443,503.2403564453125,6.221067905426025,,504.44354248046875,,,,
12,,3449,,,6.203719139099121,,494.5850524902344,,,
12,,3499,,,6.063875198364258,,430.0386962890625,,,
12,,3549,,,6.089054107666016,,441.00408935546875,,,
12,,3599,,,6.285758018493652,,536.87109375,,,
12,,3649,,,6.157883167266846,,472.4269714355469,,,
12,,3699,,,6.205984115600586,,495.70654296875,,,
12,,3730,,,,,,542.388916015625,6.29598331451416,546.7728271484375
12,35.63900375366211,3730,488.34698486328125,6.191026210784912,,489.52911376953125,,,,
13,,3749,,,6.320814609527588,,556.0257568359375,,,
13,,3799,,,6.2107930183410645,,498.0960998535156,,,
13,,3849,,,6.103030681610107,,447.2110900878906,,,
13,,3899,,,6.210777282714844,,498.0882263183594,,,
13,,3949,,,6.091833591461182,,442.2315673828125,,,
13,,3999,,,6.2020745277404785,,493.7723388671875,,,
13,,4017,,,,,,534.3302001953125,6.2810139656066895,538.6692504882812
13,35.538856506347656,4017,476.3739013671875,6.166203022003174,,477.62640380859375,,,,
14,,4049,,,6.151488780975342,,469.41571044921875,,,
14,,4099,,,6.114293575286865,,452.27642822265625,,,
14,,4149,,,6.071842670440674,,433.47869873046875,,,
14,,4199,,,6.242400169372559,,514.0909423828125,,,
14,,4249,,,6.134775638580322,,461.6355285644531,,,
14,,4299,,,6.212541103363037,,498.9675598144531,,,
14,,4304,,,,,,525.9298095703125,6.265167713165283,530.2234497070312
14,35.503448486328125,4304,466.833984375,6.1459736824035645,,467.9009094238281,,,,
15,,4349,,,6.083683967590332,,438.64215087890625,,,
15,,4399,,,6.147342681884766,,467.4735412597656,,,
15,,4449,,,6.148092269897461,,467.82403564453125,,,
15,,4499,,,6.151918888092041,,469.61767578125,,,
15,,4549,,,6.113638401031494,,451.980224609375,,,
15,,4591,,,,,,520.4912719726562,6.254773139953613,524.745849609375
15,35.33928298950195,4591,459.18389892578125,6.129450798034668,,460.3886413574219,,,,
16,,4599,,,6.1493916511535645,,468.4323425292969,,,
16,,4649,,,6.182198524475098,,484.05499267578125,,,
16,,4699,,,6.161437511444092,,474.109130859375,,,
16,,4749,,,6.06620979309082,,431.0438232421875,,,
16,,4799,,,6.08396053314209,,438.76348876953125,,,
16,,4849,,,6.042572498321533,,420.974609375,,,
16,,4878,,,,,,515.6880493164062,6.24550199508667,519.9174194335938
16,35.57304763793945,4878,453.3238220214844,6.116606712341309,,454.58587646484375,,,,
17,,4899,,,6.119040489196777,,454.428466796875,,,
17,,4949,,,5.945769786834717,,382.1334228515625,,,
17,,4999,,,6.12045431137085,,455.0713806152344,,,
17,,5049,,,6.15172815322876,,469.52813720703125,,,
17,,5099,,,6.090539932250977,,441.6597900390625,,,
17,,5149,,,6.111914157867432,,451.2015686035156,,,
17,,5165,,,,,,512.84375,6.239971160888672,517.045166015625
17,35.55095672607422,5165,448.4549560546875,6.105808258056641,,449.5770568847656,,,,
18,,5199,,,6.152585506439209,,469.93084716796875,,,
18,,5249,,,6.110878944396973,,450.7347106933594,,,
18,,5299,,,6.077421188354492,,435.90362548828125,,,
18,,5349,,,6.035965919494629,,418.20257568359375,,,
18,,5399,,,6.138575553894043,,463.39300537109375,,,
18,,5449,,,6.1240105628967285,,456.6926574707031,,,
18,,5452,,,,,,509.4026184082031,6.233238697052002,513.5908203125
18,35.55181884765625,5452,444.7058410644531,6.097413063049316,,445.66241455078125,,,,
19,,5499,,,6.000814914703369,,403.7576904296875,,,
19,,5549,,,6.226515293121338,,505.98919677734375,,,
19,,5599,,,6.143507957458496,,465.6842956542969,,,
19,,5649,,,6.075728416442871,,435.1663513183594,,,
19,,5699,,,6.10435676574707,,447.8045349121094,,,
19,,5739,,,,,,506.7657165527344,6.228048801422119,510.9288330078125
19,35.564796447753906,5739,441.2480773925781,6.089607238769531,,442.48724365234375,,,,
