epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,7.423696041107178,,1675.213623046875,,,
0,,99,,,7.544826030731201,,1890.9337158203125,,,
0,,149,,,7.395101070404053,,1627.9893798828125,,,
0,,199,,,7.451367378234863,,1722.2164306640625,,,
0,,249,,,7.403105735778809,,1641.0732421875,,,
0,,286,,,,,,1783.177490234375,7.486152172088623,1793.7708740234375
0,105.31334686279297,286,1879.82275390625,7.538932800292969,,2301.48876953125,,,,
1,,299,,,7.248655319213867,,1406.212646484375,,,
1,,349,,,7.416258335113525,,1662.80029296875,,,
1,,399,,,7.35307502746582,,1560.9891357421875,,,
1,,449,,,7.324830055236816,,1517.5159912109375,,,
1,,499,,,7.390843868255615,,1621.0736083984375,,,
1,,549,,,7.446361541748047,,1713.616943359375,,,
1,,573,,,,,,1771.1788330078125,7.479400634765625,1783.0120849609375
1,38.40414047241211,573,1609.8101806640625,7.383871555328369,,1612.6790771484375,,,,
2,,599,,,7.263090133666992,,1426.658203125,,,
2,,649,,,7.3692426681518555,,1586.4317626953125,,,
2,,699,,,7.323013782501221,,1514.76220703125,,,
2,,749,,,7.348292350769043,,1553.541259765625,,,
2,,799,,,7.536235332489014,,1874.7589111328125,,,
2,,849,,,7.504980087280273,,1817.0689697265625,,,
2,,860,,,,,,2619.593017578125,7.870774269104004,2634.875244140625
2,38.40167236328125,860,1638.897705078125,7.4017791748046875,,1643.9793701171875,,,,
3,,899,,,7.51814079284668,,1841.14111328125,,,
3,,949,,,7.480833053588867,,1773.7177734375,,,
3,,999,,,7.432880878448486,,1690.671142578125,,,
3,,1049,,,7.338759422302246,,1538.8018798828125,,,
3,,1099,,,7.3343634605407715,,1532.05224609375,,,
3,,1147,,,,,,3063.835693359375,8.027422904968262,3080.31201171875
3,38.34210968017578,1147,1656.345947265625,7.412369251251221,,1658.3741455078125,,,,
4,,1149,,,7.371855735778809,,1590.582763671875,,,
4,,1199,,,7.385553359985352,,1612.5198974609375,,,
4,,1249,,,7.3900909423828125,,1619.853515625,,,
4,,1299,,,7.375237941741943,,1595.971435546875,,,
4,,1349,,,7.470337867736816,,1755.1995849609375,,,
4,,1399,,,7.378574848175049,,1601.305908203125,,,
4,,1434,,,,,,3353.234130859375,8.117680549621582,3369.64794921875
4,38.31681442260742,1434,1633.6397705078125,7.398565769195557,,1635.841796875,,,,
