epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,7.717260837554932,,2246.796630859375,,,
0,,99,,,6.948731422424316,,1041.8272705078125,,,
0,,149,,,6.857766628265381,,951.240234375,,,
0,,199,,,6.716300964355469,,825.75732421875,,,
0,,249,,,6.535301685333252,,689.0416259765625,,,
0,,286,,,,,,639.076904296875,6.460024833679199,644.0728759765625
0,111.23779296875,286,1263.781005859375,7.1418633460998535,,2325.254638671875,,,,
1,,299,,,6.411320686340332,,608.6970825195312,,,
1,,349,,,6.217887878417969,,501.642578125,,,
1,,399,,,6.186585903167725,,486.1833801269531,,,
1,,449,,,6.169610023498535,,477.9996643066406,,,
1,,499,,,6.183607578277588,,484.7375183105469,,,
1,,549,,,6.108819484710693,,449.8074035644531,,,
1,,573,,,,,,446.7438659667969,6.101985454559326,450.4954528808594
1,37.72272872924805,573,482.0510559082031,6.1780500411987305,,485.7940368652344,,,,
2,,599,,,5.9739298820495605,,393.0472717285156,,,
2,,649,,,5.814212322235107,,335.02740478515625,,,
2,,699,,,5.754971027374268,,315.7563781738281,,,
2,,749,,,5.847072601318359,,346.2193603515625,,,
2,,799,,,5.7339372634887695,,309.1842041015625,,,
2,,849,,,5.74601411819458,,312.9408264160156,,,
2,,860,,,,,,364.0673522949219,5.8973388671875,367.3838806152344
2,37.59500503540039,860,341.3738708496094,5.832978248596191,,342.7439270019531,,,,
3,,899,,,5.761168956756592,,317.71954345703125,,,
3,,949,,,5.608713626861572,,272.7930908203125,,,
3,,999,,,5.517366409301758,,248.9784698486328,,,
3,,1049,,,5.691997051239014,,296.4851379394531,,,
3,,1099,,,5.604214668273926,,271.5685729980469,,,
3,,1147,,,,,,313.6460876464844,5.748265266418457,316.64892578125
3,37.63323974609375,1147,268.0694580078125,5.591246128082275,,268.948974609375,,,,
4,,1149,,,5.438508987426758,,230.09886169433594,,,
4,,1199,,,5.424829006195068,,226.9725341796875,,,
4,,1249,,,5.422911643981934,,226.53775024414062,,,
4,,1299,,,5.274779319763184,,195.3473663330078,,,
4,,1349,,,5.398690223693848,,221.1166229248047,,,
4,,1399,,,5.416302680969238,,225.04551696777344,,,
