epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,7.604874610900879,,2007.9600830078125,,,
0,,99,,,7.622822284698486,,2044.3236083984375,,,
0,,149,,,7.625288486480713,,2049.37158203125,,,
0,,199,,,7.474938869476318,,1763.2938232421875,,,
0,,249,,,7.475327968597412,,1763.9801025390625,,,
0,,286,,,,,,2649.873046875,7.882266998291016,2666.35791015625
0,83.91049194335938,286,1997.3583984375,7.599580764770508,,2321.3369140625,,,,
1,,299,,,7.497838973999023,,1804.139404296875,,,
1,,349,,,7.394504547119141,,1627.0186767578125,,,
1,,399,,,7.543216228485107,,1887.89208984375,,,
1,,449,,,7.511672019958496,,1829.26953125,,,
1,,499,,,7.506765365600586,,1820.31591796875,,,
1,,549,,,7.387704372406006,,1615.9921875,,,
1,,573,,,,,,2526.0390625,7.834407806396484,2541.535888671875
1,35.84079360961914,573,1744.4287109375,7.464182376861572,,1746.5635986328125,,,,
2,,599,,,7.492944240570068,,1795.3302001953125,,,
2,,649,,,7.4344868659973145,,1693.3885498046875,,,
2,,699,,,7.441843509674072,,1705.8922119140625,,,
2,,749,,,7.443517684936523,,1708.75048828125,,,
2,,799,,,7.468733787536621,,1752.3863525390625,,,
2,,849,,,7.490350246429443,,1790.67919921875,,,
2,,860,,,,,,2431.518798828125,7.796271324157715,2445.023193359375
2,35.84402084350586,860,1709.5263671875,7.443971633911133,,1711.6082763671875,,,,
3,,899,,,7.441866874694824,,1705.931884765625,,,
3,,949,,,7.477611541748047,,1768.012939453125,,,
3,,999,,,7.438079357147217,,1699.4830322265625,,,
3,,1049,,,7.422664165496826,,1673.4859619140625,,,
3,,1099,,,7.4273786544799805,,1681.394287109375,,,
3,,1147,,,,,,2423.898193359375,7.793132305145264,2436.691650390625
3,35.921226501464844,1147,1689.5228271484375,7.432201385498047,,1691.50732421875,,,,
4,,1149,,,7.397435665130615,,1631.7945556640625,,,
4,,1199,,,7.407547473907471,,1648.378662109375,,,
4,,1249,,,7.4561333656311035,,1730.444091796875,,,
4,,1299,,,7.381680488586426,,1606.286865234375,,,
4,,1349,,,7.376893043518066,,1598.615234375,,,
4,,1399,,,7.463982105255127,,1744.0792236328125,,,
4,,1434,,,,,,2700.1806640625,7.901073932647705,2715.55126953125
4,35.93492126464844,1434,1686.6402587890625,7.4304938316345215,,1688.9320068359375,,,,
5,,1449,,,7.398405075073242,,1633.377197265625,,,
5,,1499,,,7.487853527069092,,1786.2138671875,,,
5,,1549,,,7.450336933135986,,1720.4427490234375,,,
5,,1599,,,7.4269304275512695,,1680.6407470703125,,,
5,,1649,,,7.390725612640381,,1620.8817138671875,,,
5,,1699,,,7.42366361618042,,1675.159423828125,,,
5,,1721,,,,,,3657.135009765625,8.204435348510742,3681.738525390625
5,35.920135498046875,1721,1679.6097412109375,7.426316738128662,,1681.7872314453125,,,,
6,,1749,,,7.427966117858887,,1682.38232421875,,,
6,,1799,,,7.405092716217041,,1644.3372802734375,,,
6,,1849,,,7.422135829925537,,1672.60205078125,,,
6,,1899,,,7.32521915435791,,1518.1065673828125,,,
6,,1949,,,7.451300144195557,,1722.1007080078125,,,
6,,1999,,,7.497403144836426,,1803.353271484375,,,
6,,2008,,,,,,2664.71435546875,7.887852191925049,2678.609130859375
6,35.844146728515625,2008,1681.6981201171875,7.4275593757629395,,1683.523193359375,,,,
