epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,8.620475769042969,,5544.0234375,,,
0,,99,,,7.601476669311523,,2001.1488037109375,,,
0,,149,,,7.221154689788818,,1368.06787109375,,,
0,,199,,,6.983570575714111,,1078.7633056640625,,,
0,,249,,,6.828794956207275,,924.0765991210938,,,
0,,286,,,,,,928.60546875,6.833683967590332,935.6399536132812
0,155.4527130126953,286,2080.531982421875,7.640378952026367,,3753.686279296875,,,,
1,,299,,,6.816020488739014,,912.3470458984375,,,
1,,349,,,6.732990741729736,,839.6547241210938,,,
1,,399,,,6.626404285430908,,754.763427734375,,,
1,,449,,,6.621363639831543,,750.968505859375,,,
1,,499,,,6.484894752502441,,655.1699829101562,,,
1,,549,,,6.578193664550781,,719.239013671875,,,
1,,573,,,,,,644.2499389648438,6.4680867195129395,649.3938598632812
1,37.71946334838867,573,745.6710205078125,6.614284515380859,,750.7208862304688,,,,
2,,599,,,6.463803291320801,,641.4962158203125,,,
2,,649,,,6.297844409942627,,543.3992919921875,,,
2,,699,,,6.394858360290527,,598.758544921875,,,
2,,749,,,6.349593162536621,,572.2598266601562,,,
2,,799,,,6.136107921600342,,462.2509460449219,,,
2,,849,,,6.244985103607178,,515.4215698242188,,,
2,,860,,,,,,522.463134765625,6.258554458618164,526.7822265625
2,37.4547119140625,860,546.8885498046875,6.3042449951171875,,549.122314453125,,,,
3,,899,,,6.101745128631592,,446.63653564453125,,,
3,,949,,,6.086691856384277,,439.9635314941406,,,
3,,999,,,6.124474048614502,,456.90435791015625,,,
3,,1049,,,5.968512535095215,,390.92376708984375,,,
3,,1099,,,5.98866081237793,,398.8800964355469,,,
3,,1147,,,,,,458.90045166015625,6.128833293914795,462.7033386230469
3,37.751094818115234,1147,445.10552978515625,6.098311424255371,,446.61041259765625,,,,
4,,1149,,,5.996814250946045,,402.1455993652344,,,
4,,1199,,,6.064014911651611,,430.0987854003906,,,
4,,1249,,,5.984197616577148,,397.103759765625,,,
4,,1299,,,5.9339728355407715,,377.65191650390625,,,
4,,1349,,,5.941592693328857,,380.5405578613281,,,
4,,1399,,,6.0039215087890625,,405.01397705078125,,,
4,,1434,,,,,,414.9583740234375,6.0281782150268555,418.5174560546875
4,37.5377197265625,1434,382.3087463378906,5.946228504180908,,383.4718322753906,,,,
5,,1449,,,5.897995948791504,,364.3066711425781,,,
5,,1499,,,5.859018802642822,,350.38018798828125,,,
5,,1549,,,5.793804168701172,,328.2594299316406,,,
5,,1599,,,5.803718090057373,,331.5299377441406,,,
5,,1649,,,5.803019046783447,,331.2982482910156,,,
5,,1699,,,5.793916702270508,,328.2963562011719,,,
5,,1721,,,,,,381.62298583984375,5.944433212280273,385.1118469238281
5,37.455387115478516,1721,337.903564453125,5.822760581970215,,338.943603515625,,,,
6,,1749,,,5.871895790100098,,354.9211730957031,,,
6,,1799,,,5.582112789154053,,265.6322326660156,,,
6,,1849,,,5.677842140197754,,292.3179626464844,,,
6,,1899,,,5.649924278259277,,284.2699279785156,,,
6,,1949,,,5.761310577392578,,317.7645263671875,,,
6,,1999,,,5.898648738861084,,364.5445556640625,,,
6,,2008,,,,,,355.2635803222656,5.872859954833984,358.5802917480469
6,37.68672561645508,2008,305.0972595214844,5.720630645751953,,305.9148864746094,,,,
7,,2049,,,5.734264373779297,,309.2853698730469,,,
7,,2099,,,5.639499664306641,,281.3219299316406,,,
