epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,9.548555374145508,,14024.419921875,,,
0,,99,,,9.137907028198242,,9301.27734375,,,
0,,149,,,8.572571754455566,,5284.70361328125,,,
0,,199,,,8.238916397094727,,3785.436279296875,,,
0,,249,,,8.035137176513672,,3087.562255859375,,,
0,,286,,,,,,2400.78076171875,7.7835493087768555,2413.4873046875
0,122.03568267822266,286,6608.0595703125,8.796045303344727,,8645.8310546875,,,,
1,,299,,,7.765392303466797,,2357.583251953125,,,
1,,349,,,7.585535526275635,,1969.5010986328125,,,
1,,399,,,7.442767143249512,,1707.468505859375,,,
1,,449,,,7.289805889129639,,1465.2862548828125,,,
1,,499,,,7.234295845031738,,1386.16455078125,,,
1,,549,,,7.139278411865234,,1260.5184326171875,,,
1,,573,,,,,,1190.1859130859375,7.081864833831787,1197.4608154296875
1,37.902957916259766,573,1597.2384033203125,7.376031398773193,,1636.00048828125,,,,
2,,599,,,7.129147052764893,,1247.812255859375,,,
2,,649,,,6.962928771972656,,1056.723876953125,,,
2,,699,,,6.96552848815918,,1059.474609375,,,
2,,749,,,6.8837690353393555,,976.2991333007812,,,
2,,799,,,6.847774505615234,,941.7826538085938,,,
2,,849,,,6.776034355163574,,876.5855712890625,,,
2,,860,,,,,,934.5347290039062,6.840048789978027,941.018310546875
2,37.2488899230957,860,1021.4811401367188,6.929008960723877,,1026.0789794921875,,,,
3,,899,,,6.868973731994629,,961.9608154296875,,,
3,,949,,,6.8781962394714355,,970.87353515625,,,
3,,999,,,6.747873306274414,,852.2443237304688,,,
3,,1049,,,6.734216690063477,,840.6846923828125,,,
3,,1099,,,6.7425994873046875,,847.7615966796875,,,
3,,1147,,,,,,820.5370483398438,6.709959030151367,826.6036376953125
3,37.550697326660156,1147,847.6516723632812,6.742469787597656,,849.9031982421875,,,,
4,,1149,,,6.675698280334473,,792.9009399414062,,,
4,,1199,,,6.710342884063721,,820.8521118164062,,,
4,,1249,,,6.641726970672607,,766.4174194335938,,,
4,,1299,,,6.503026962280273,,667.1580200195312,,,
4,,1349,,,6.626262187957764,,754.6561279296875,,,
4,,1399,,,6.517936706542969,,677.1797485351562,,,
4,,1434,,,,,,743.7403564453125,6.611691951751709,749.271240234375
4,41.37364959716797,1434,746.9129638671875,6.615948677062988,,748.6419677734375,,,,
5,,1449,,,6.445095062255859,,629.6065063476562,,,
5,,1499,,,6.521851539611816,,679.8359375,,,
5,,1549,,,6.450366973876953,,632.9345092773438,,,
5,,1599,,,6.509828567504883,,671.7112426757812,,,
5,,1649,,,6.428889274597168,,619.4854736328125,,,
5,,1699,,,6.491641044616699,,659.6049194335938,,,
5,,1721,,,,,,681.1985473632812,6.523853778839111,686.2002563476562
5,37.66054916381836,1721,674.1653442382812,6.51347541809082,,675.668212890625,,,,
6,,1749,,,6.45013952255249,,632.7905883789062,,,
6,,1799,,,6.517512321472168,,676.8923950195312,,,
6,,1849,,,6.3454155921936035,,569.8741455078125,,,
6,,1899,,,6.321564197540283,,556.4427490234375,,,
6,,1949,,,6.313117980957031,,551.7626342773438,,,
6,,1999,,,6.355688571929932,,575.7586669921875,,,
6,,2008,,,,,,636.8950805664062,6.456604957580566,641.655517578125
6,37.605159759521484,2008,617.7297973632812,6.426051139831543,,619.2381591796875,,,,
7,,2049,,,6.317368507385254,,554.1129760742188,,,
7,,2099,,,6.389756679534912,,595.7116088867188,,,
7,,2149,,,6.419729232788086,,613.8368530273438,,,
7,,2199,,,6.351293087005615,,573.2334594726562,,,
7,,2249,,,6.3232245445251465,,557.3673706054688,,,
7,,2295,,,,,,600.3858642578125,6.3975725173950195,604.8363037109375
7,37.61492919921875,2295,573.4308471679688,6.351637363433838,,574.6849365234375,,,,
8,,2299,,,6.488682270050049,,657.6561889648438,,,
8,,2349,,,6.2379631996154785,,511.81500244140625,,,
8,,2399,,,6.363668918609619,,580.3717651367188,,,
8,,2449,,,6.263185024261475,,524.8880615234375,,,
8,,2499,,,6.377740383148193,,588.59619140625,,,
8,,2549,,,6.303005218505859,,546.2109375,,,
8,,2582,,,,,,573.0872802734375,6.351037979125977,577.3618774414062
8,37.64085006713867,2582,538.3135375976562,6.288441181182861,,539.47900390625,,,,
9,,2599,,,6.295422077178955,,542.0845947265625,,,
9,,2649,,,6.193986415863037,,489.7947692871094,,,
9,,2699,,,6.18759298324585,,486.6732482910156,,,
9,,2749,,,6.244089126586914,,514.9599609375,,,
9,,2799,,,6.162343502044678,,474.53887939453125,,,
9,,2849,,,6.185329437255859,,485.5728759765625,,,
9,,2869,,,,,,549.2350463867188,6.308526515960693,553.3582763671875
9,37.70915985107422,2869,510.0729675292969,6.234553813934326,,511.1623229980469,,,,
10,,2899,,,6.1756696701049805,,480.90496826171875,,,
10,,2949,,,6.206386089324951,,495.9058532714844,,,
10,,2999,,,6.136080265045166,,462.2381896972656,,,
10,,3049,,,6.139791011810303,,463.95660400390625,,,
10,,3099,,,6.148128986358643,,467.84124755859375,,,
10,,3149,,,6.275253772735596,,531.2611694335938,,,
10,,3156,,,,,,531.6283569335938,6.275944709777832,535.6224975585938
10,37.45291519165039,3156,487.95013427734375,6.190213203430176,,489.0555725097656,,,,
11,,3199,,,6.0983734130859375,,445.1331481933594,,,
11,,3249,,,6.210304260253906,,497.85272216796875,,,
11,,3299,,,6.169775485992432,,478.0787658691406,,,
11,,3349,,,6.124926567077637,,457.11114501953125,,,
11,,3399,,,6.110226631164551,,450.4407958984375,,,
11,,3443,,,,,,517.5814819335938,6.249166965484619,521.5078735351562
11,37.26165008544922,3443,469.2129821777344,6.15105676651001,,470.45556640625,,,,
12,,3449,,,6.102659225463867,,447.0450134277344,,,
12,,3499,,,6.081308841705322,,437.6015625,,,
12,,3549,,,6.187164783477783,,486.46490478515625,,,
12,,3599,,,6.117222309112549,,453.60296630859375,,,
12,,3649,,,6.226648330688477,,506.0565185546875,,,
12,,3699,,,6.188036918640137,,486.8893737792969,,,
12,,3730,,,,,,506.3611145019531,6.227250099182129,510.1729736328125
12,37.36521911621094,3730,455.3818054199219,6.12113618850708,,456.5114440917969,,,,
13,,3749,,,6.168813705444336,,477.619140625,,,
