epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,7.6327290534973145,,2064.677001953125,,,
0,,99,,,7.601562976837158,,2001.3214111328125,,,
0,,149,,,7.467761516571045,,1750.6834716796875,,,
0,,199,,,7.455244541168213,,1728.90673828125,,,
0,,249,,,7.53521728515625,,1872.8511962890625,,,
0,,286,,,,,,1989.235595703125,7.595505714416504,1998.0723876953125
0,117.21236419677734,286,2020.88623046875,7.611291408538818,,2441.695556640625,,,,
1,,299,,,7.427340507507324,,1681.330078125,,,
1,,349,,,7.47325325012207,,1760.32421875,,,
1,,399,,,7.478743553161621,,1770.015380859375,,,
1,,449,,,7.411460876464844,,1654.8421630859375,,,
1,,499,,,7.50532865524292,,1817.7025146484375,,,
1,,549,,,7.388881683349609,,1617.895751953125,,,
1,,573,,,,,,2489.061767578125,7.8196611404418945,2503.845947265625
1,36.60449981689453,573,1725.427978515625,7.453230381011963,,1727.7401123046875,,,,
2,,599,,,7.4517621994018555,,1722.8966064453125,,,
2,,649,,,7.473301887512207,,1760.40966796875,,,
2,,699,,,7.4477434158325195,,1715.9864501953125,,,
2,,749,,,7.4431376457214355,,1708.10107421875,,,
2,,799,,,7.443829536437988,,1709.283447265625,,,
2,,849,,,7.4688873291015625,,1752.6553955078125,,,
2,,860,,,,,,2762.65478515625,7.923947334289551,2778.43310546875
2,36.46750259399414,860,1696.6029052734375,7.436383247375488,,1698.7142333984375,,,,
3,,899,,,7.277554512023926,,1447.4439697265625,,,
3,,949,,,7.457376480102539,,1732.5965576171875,,,
3,,999,,,7.4134039878845215,,1658.060791015625,,,
3,,1049,,,7.43871545791626,,1700.5643310546875,,,
3,,1099,,,7.463889122009277,,1743.9171142578125,,,
3,,1147,,,,,,2499.362548828125,7.823791027069092,2513.163818359375
3,36.362693786621094,1147,1677.81982421875,7.42525053024292,,1680.30712890625,,,,
