epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,7.452577590942383,,1724.302001953125,,,
0,,99,,,7.427350044250488,,1681.34619140625,,,
0,,149,,,7.425865173339844,,1678.8514404296875,,,
0,,199,,,7.410265922546387,,1652.86572265625,,,
0,,249,,,7.378915309906006,,1601.851318359375,,,
0,,286,,,,,,1712.154052734375,7.445507526397705,1723.2750244140625
0,110.08660125732422,286,1872.960205078125,7.535275459289551,,2372.017822265625,,,,
1,,299,,,7.277416229248047,,1447.2437744140625,,,
1,,349,,,7.3846564292907715,,1611.07421875,,,
1,,399,,,7.35308837890625,,1561.0101318359375,,,
1,,449,,,7.359512805938721,,1571.071044921875,,,
1,,499,,,7.355456829071045,,1564.7115478515625,,,
1,,549,,,7.4808030128479,,1773.6644287109375,,,
1,,573,,,,,,1697.917236328125,7.43715763092041,1708.7059326171875
1,36.29676055908203,573,1547.935546875,7.344677448272705,,1550.54931640625,,,,
2,,599,,,7.289775371551514,,1465.2415771484375,,,
2,,649,,,7.427181243896484,,1681.0623779296875,,,
2,,699,,,7.281200408935547,,1452.7308349609375,,,
2,,749,,,7.313096046447754,,1499.8134765625,,,
2,,799,,,7.316385746002197,,1504.755615234375,,,
2,,849,,,7.244329929351807,,1400.1434326171875,,,
2,,860,,,,,,1847.6138916015625,7.521650314331055,1859.7340087890625
2,35.84368133544922,860,1515.4615478515625,7.323475360870361,,1517.9591064453125,,,,
3,,899,,,7.3477678298950195,,1552.7266845703125,,,
3,,949,,,7.275905609130859,,1445.059326171875,,,
3,,999,,,7.343114376068115,,1545.51806640625,,,
3,,1049,,,7.412436008453369,,1656.45654296875,,,
3,,1099,,,7.253942489624023,,1413.667236328125,,,
3,,1147,,,,,,1699.1142578125,7.437862396240234,1709.63037109375
3,35.91188430786133,1147,1496.52734375,7.3109025955200195,,1499.30078125,,,,
4,,1149,,,7.318092346191406,,1507.3258056640625,,,
4,,1199,,,7.230751991271973,,1381.2608642578125,,,
4,,1249,,,7.422071933746338,,1672.4951171875,,,
4,,1299,,,7.30079984664917,,1481.4844970703125,,,
4,,1349,,,7.25405740737915,,1413.8297119140625,,,
4,,1399,,,7.2866387367248535,,1460.65283203125,,,
4,,1434,,,,,,1711.345947265625,7.445035457611084,1722.4033203125
4,35.88434982299805,1434,1481.326171875,7.300693035125732,,1483.88623046875,,,,
