epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,7.5234694480896,,1850.97802734375,,,
0,,99,,,7.408500671386719,,1649.95068359375,,,
0,,149,,,7.391077041625977,,1621.451416015625,,,
0,,199,,,7.404081344604492,,1642.675048828125,,,
0,,249,,,7.48178243637085,,1775.402587890625,,,
0,,286,,,,,,2070.93408203125,7.6357550621032715,2093.417724609375
0,83.90599822998047,286,1895.6219482421875,7.54730224609375,,2375.917724609375,,,,
1,,299,,,7.371034145355225,,1589.2764892578125,,,
1,,349,,,7.356858253479004,,1566.906005859375,,,
1,,399,,,7.4941840171813965,,1797.557373046875,,,
1,,449,,,7.57448673248291,,1947.8602294921875,,,
1,,499,,,7.377849578857422,,1600.14501953125,,,
1,,549,,,7.428273677825928,,1682.89990234375,,,
1,,573,,,,,,2243.737060546875,7.715898036956787,2260.392333984375
1,36.1056022644043,573,1732.1199951171875,7.457101345062256,,1735.2469482421875,,,,
2,,599,,,7.42529296875,,1677.89111328125,,,
2,,649,,,7.342752456665039,,1544.958740234375,,,
2,,699,,,7.441455841064453,,1705.23095703125,,,
2,,749,,,7.4058709144592285,,1645.617431640625,,,
2,,799,,,7.460058212280273,,1737.249267578125,,,
2,,849,,,7.4152750968933105,,1661.166015625,,,
2,,860,,,,,,2381.6923828125,7.775566577911377,2410.967041015625
2,36.272422790527344,860,1674.9957275390625,7.423565864562988,,1677.5225830078125,,,,
3,,899,,,7.338714122772217,,1538.732177734375,,,
3,,949,,,7.401700019836426,,1638.76806640625,,,
3,,999,,,7.3837690353393555,,1609.645263671875,,,
3,,1049,,,7.450582027435303,,1720.8643798828125,,,
3,,1099,,,7.390279293060303,,1620.1585693359375,,,
3,,1147,,,,,,2379.30517578125,7.774563789367676,2392.91064453125
3,36.05121612548828,1147,1692.507080078125,7.433966159820557,,1694.8187255859375,,,,
